id;descripcion;fecha_factura;fecha_vencimiento;tipo_pago;total_factura;cliente_id
1;BEAC;2022-04-30T11:44:03;2022-04-30T10:14:21;CREDIT;17222;1
2;Loan compressing;2022-04-30T08:44:46;2022-04-29T21:03:22;COUNTED;39532;2
3;overriding;2022-04-30T03:47:02;2022-04-30T00:49:27;CREDIT;83164;3
4;Estratega;2022-04-30T16:34:03;2022-04-30T17:52:55;COUNTED;73229;4
5;asimétrica Pelota;2022-04-30T01:09:25;2022-04-30T15:30:21;CREDIT;80094;5
6;HDD transmit;2022-04-30T16:41:00;2022-04-30T07:30:36;CREDIT;61922;6
7;Loan;2022-04-29T20:12:31;2022-04-30T12:14:40;CREDIT;36214;7
8;International Zapatos USB;2022-04-30T01:35:03;2022-04-30T02:12:15;COUNTED;49744;8
9;Estratega;2022-04-30T12:32:11;2022-04-30T10:18:40;COUNTED;18793;9
10;Granito;2022-04-29T22:42:43;2022-04-29T21:50:41;COUNTED;66760;10
