id;talla;porcentaje_iva;marca;genero;estilo;descripcion_producto;cantidad_producto
1;23830;30542;architect;transmit;Monte;Morado Fácil Yemen;14379
2;61378;4650;synthesizing;Práctico deposit syn;Dinánmico Camino Gen;XSS virtual;374
3;39867;70235;Gabón Guadalupe;Berkshire;Sum Azul Profundo;multitarea;21711
4;37270;87206;incubate;bluetooth primary sc;Ladrillo port;withdrawal Navarra Ucrania;31739
5;77198;46192;circuito;Guapa;neural Bélgica Anali;synergies vertical world-class;18378
6;53626;49205;Pollo Navarra;Heredado;e-markets deposit;leverage Algodón previsión;59323
7;87841;17387;red withdrawal;matrix;mindshare;Finlandia Account;6403
8;98017;22743;indexing;data-warehouse circu;Corporativo concepto;expedite TCP Sorprendente;47560
9;22128;67183;radical bandwidth;bluetooth;Auto orchestrate pay;synthesizing;37707
10;74849;77246;Guantes Arroyo;CSS e-enable;ejecutiva Chalet;Madera Futuro Profundo;37998
